target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.905,0.178,0.0,240.99,242.31,25-04-2022,13:29
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.671,0.505,0.0,711.24,714.25,25-04-2022,13:29
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.215,0.265,0.0,564.16,566.80,25-04-2022,13:30
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.115,0.041,0.0,9.96,10.10,25-04-2022,17:27
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.843,0.039,0.0,242.67,243.98,25-04-2022,17:27
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.646,0.516,0.0,709.33,712.42,25-04-2022,17:28
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.776,0.278,0.0,619.56,622.24,25-04-2022,17:28
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.094,0.052,0.0,9.95,10.04,26-04-2022,09:44
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.792,0.056,0.0,311.86,313.26,26-04-2022,09:44
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.222,0.259,0.0,247.46,248.91,26-04-2022,09:45
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.756,0.191,0.0,608.28,610.87,26-04-2022,09:45
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.074,0.046,0.0,9.81,9.91,26-04-2022,15:45
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.838,0.048,0.0,319.08,320.57,26-04-2022,15:45
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.328,0.169,0.0,380.27,382.60,26-04-2022,15:46
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,41.15,13.136,0.0,543.38,545.97,26-04-2022,15:46
